"","YEAR","mean.sal.sur","mean.sal.bot","mean.temp.sur","mean.temp.bot","mean.oxy.sur","mean.oxy.bot"
"1",2008,12.7291666666667,15.8125,21.7333333333333,21.0958333333333,7.86041666666667,6.61458333333333
"2",2009,18.5245,23.29,22.4475,22.297,7.2495,6.2895
"3",2010,18.8885964912281,23.1622807017544,21.2960526315789,21.1434210526316,7.63815789473684,6.75657894736842
"4",2011,20.2285087719298,24.1412280701754,21.7197368421053,21.3214912280702,7.53859649122807,6.51228070175439
"5",2012,19.5592105263158,23.6763157894737,22.4364035087719,22.1464912280702,7.2109649122807,6.30350877192982
"6",2013,17.1938596491228,21.8609649122807,21.6877192982456,21.5877192982456,7.27017543859649,5.99035087719298
"7",2014,18.4679824561404,22.944298245614,21.4697368421053,21.090350877193,7.62368421052632,6.42324561403509
"8",2015,20.1219298245614,23.859649122807,22.8478070175439,22.4947368421053,7.17236842105263,6.10438596491228
"9",2016,18.3767543859649,21.5276315789474,22.7315789473684,22.5824561403509,7.14078947368421,5.49122807017544
"10",2017,17.1947826086957,21.8195652173913,23.0365217391304,22.7508695652174,7.51695652173913,5.77260869565217
"11",2018,16.2694444444444,18.6776388888889,22.0445833333333,22.3883333333333,7.2875,6.605
"12",2019,10.8217857142857,15.1015714285714,23.3821428571429,23.1135714285714,7.77107142857143,6.19642857142857
"13",2020,7.63714285714286,13.8285714285714,15.6428571428571,15.5,9.40571428571429,8.28
"14",2021,8.03357142857143,11.9657142857143,24.4728571428571,24.0957142857143,6.85571428571429,6.09785714285714
"15",2022,16.48125,21.3228301886792,21.3339285714286,20.7905660377359,7.47625,7.13150943396226
